CODIGO_CATEGORIA|NOMBRE_CATEGORIA|CODIGO_AGRUPACION|NOMBRE_AGRUPACION|CODIGO_LISTA|NOMBRE_LISTA
001002007000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Bahia Blanca|02-865|FRENTE PATRIOTA|001002007000000.02-865.A.001002007000000.02-865|LEALTAD - Guillermo Alvarez
001002007000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Bahia Blanca|02-276|MOVIMIENTO DE AVANZADA SOCIALISTA|001002007000000.02-276.1A.001002007000000.02-276|UNIDAD DE LA IZQUIERDA - Dora Pelaez
001002007000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Bahia Blanca|02-309|MOVIMIENTO ORGANIZACION DEMOCRATICA|001002007000000.02-309.A.001002007000000.02-309|AZUL Y BLANCO - Nora Coronel
001002007000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Bahia Blanca|02-866|TODOS X BAHIA|001002007000000.02-866.A.001002007000000.02-866|UNICA - Leonardo Valente
001002008000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Balcarce|135|JUNTOS POR EL CAMBIO|001002008000000.135.1A.001002008000000.135|1A - AMARILLO - Esteban Reino
001002008000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Balcarce|02-503|FRENTE DE TODOS|001002008000000.02-503.4.001002008000000.02-503|CELESTE Y BLANCA - 4 - Juan Vismara
001002008000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Balcarce|02-503|FRENTE DE TODOS|001002008000000.02-503.12.001002008000000.02-503|CELESTE Y BLANCA - 12 - Graciela Pilone
001002008000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Balcarce|02-816|PARTIDO DIGNIDAD POPULAR|001002008000000.02-816.1A.001002008000000.02-816|POR LA VIDA - Hector Junco
001002008000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Balcarce|02-885|UNION VECINAL DE BALCARCE-UVB|001002008000000.02-885.A.001002008000000.02-885|ALMA - Mariano Mare
001002008000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Balcarce|137|CONSENSO FEDERAL|001002008000000.137.A.001002008000000.137|HAY CONSENSO - Jorge Guzman
001002009000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Baradero|135|JUNTOS POR EL CAMBIO|001002009000000.135.1A.001002009000000.135|1A - AMARILLO - Fernanda Antonijevic
001002009000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Baradero|02-503|FRENTE DE TODOS|001002009000000.02-503.6.001002009000000.02-503|CELESTE Y BLANCA - 6 - Sanzio Tito
001002009000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Baradero|02-503|FRENTE DE TODOS|001002009000000.02-503.4.001002009000000.02-503|CELESTE Y BLANCA - 4 - Carlos Brandli
001002009000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Baradero|02-503|FRENTE DE TODOS|001002009000000.02-503.8.001002009000000.02-503|CELESTE Y BLANCA - 8 - Leonardo Peris
001002009000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Baradero|02-503|FRENTE DE TODOS|001002009000000.02-503.10.001002009000000.02-503|CELESTE Y BLANCA - 10 - Morales Peteco
001002009000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Baradero|02-816|PARTIDO DIGNIDAD POPULAR|001002009000000.02-816.1A.001002009000000.02-816|POR LA VIDA - Jonathan Pereyra
001002009000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Baradero|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002009000000.133.A.001002009000000.133|UNIDAD - Marcos Carrizo
001002009000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Baradero|02-826|MISION, ACCION Y COMPROMISO|001002009000000.02-826.A.001002009000000.02-826|CELESTE UNIDAD - Diego Touzet
001002010000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Arrecifes|135|JUNTOS POR EL CAMBIO|001002010000000.135.1A.001002010000000.135|1A - AMARILLO - Javier Olaeta
001002010000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Arrecifes|02-503|FRENTE DE TODOS|001002010000000.02-503.4.001002010000000.02-503|CELESTE Y BLANCA - 4 - Gonzalo Peralta
001002010000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Arrecifes|02-503|FRENTE DE TODOS|001002010000000.02-503.6.001002010000000.02-503|CELESTE Y BLANCA - 6 - Patricio Di Palma
001002010000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Arrecifes|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002010000000.133.A.001002010000000.133|UNIDAD - Cristian Tenaglia
001002010000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Arrecifes|137|CONSENSO FEDERAL|001002010000000.137.A.001002010000000.137|HAY CONSENSO - Patricio Gabilondo
001002011000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berazategui|135|JUNTOS POR EL CAMBIO|001002011000000.135.1A.001002011000000.135|1A - AMARILLO - Julian Amendolaggine
001002011000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berazategui|02-503|FRENTE DE TODOS|001002011000000.02-503.2.001002011000000.02-503|CELESTE Y BLANCA - 2 - Juan Mussi
001002011000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berazategui|02-816|PARTIDO DIGNIDAD POPULAR|001002011000000.02-816.1A.001002011000000.02-816|POR LA VIDA - Juan Fleita
001002011000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berazategui|02-1911|FRENTE NOS|001002011000000.02-1911.A.001002011000000.02-1911|LINEA ÚNICA - Jose Paredes
001002011000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berazategui|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002011000000.133.A.001002011000000.133|UNIDAD - Marta Fuentes
001002011000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berazategui|137|CONSENSO FEDERAL|001002011000000.137.A.001002011000000.137|HAY CONSENSO - Nicolas Terrera
001002011000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berazategui|137|CONSENSO FEDERAL|001002011000000.137.C.001002011000000.137|CONSENSO FEDERAL 2030 - Dante Morini
001002011000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berazategui|137|CONSENSO FEDERAL|001002011000000.137.D.001002011000000.137|GENTE PROGRESISTA - Diego Geneiro
001002011000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berazategui|02-865|FRENTE PATRIOTA|001002011000000.02-865.A.001002011000000.02-865|LEALTAD - Argentino Ayala
001002011000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berazategui|02-276|MOVIMIENTO DE AVANZADA SOCIALISTA|001002011000000.02-276.1A.001002011000000.02-276|UNIDAD DE LA IZQUIERDA - Lis Leila Lopez
001002011000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berazategui|02-309|MOVIMIENTO ORGANIZACION DEMOCRATICA|001002011000000.02-309.A.001002011000000.02-309|AZUL Y BLANCO - Victor Gasaro
001002012000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berisso|135|JUNTOS POR EL CAMBIO|001002012000000.135.1A.001002012000000.135|1A - AMARILLO - Jorge Nedela
001002012000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berisso|02-503|FRENTE DE TODOS|001002012000000.02-503.8.001002012000000.02-503|CELESTE Y BLANCA - 8 - Fabian Cagliardi
001002012000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berisso|02-503|FRENTE DE TODOS|001002012000000.02-503.6.001002012000000.02-503|CELESTE Y BLANCA - 6 - Juan Mincarelli
001002012000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berisso|02-816|PARTIDO DIGNIDAD POPULAR|001002012000000.02-816.1A.001002012000000.02-816|POR LA VIDA - Omar Nieva
001002012000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berisso|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002012000000.133.A.001002012000000.133|UNIDAD - Federico Surila
001002012000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berisso|137|CONSENSO FEDERAL|001002012000000.137.D.001002012000000.137|HAY ALTERNATIVA - Hector Fernandez
001002012000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berisso|137|CONSENSO FEDERAL|001002012000000.137.C.001002012000000.137|GENTE PROGRESISTA - Alicia Russillo
001002012000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berisso|137|CONSENSO FEDERAL|001002012000000.137.A.001002012000000.137|HAY CONSENSO - Emmanuel Guerrero
001002012000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berisso|02-276|MOVIMIENTO DE AVANZADA SOCIALISTA|001002012000000.02-276.1A.001002012000000.02-276|UNIDAD DE LA IZQUIERDA - Alejandro Sepulveda
001002012000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Berisso|02-309|MOVIMIENTO ORGANIZACION DEMOCRATICA|001002012000000.02-309.A.001002012000000.02-309|AZUL Y BLANCO - Claudio Pascual
001002013000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Bolivar|135|JUNTOS POR EL CAMBIO|001002013000000.135.4A.001002013000000.135|4A - FUCCIA - Juan Moran
001002013000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Bolivar|135|JUNTOS POR EL CAMBIO|001002013000000.135.1A.001002013000000.135|1A - AMARILLO - Jose Erreca
001002013000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Bolivar|02-503|FRENTE DE TODOS|001002013000000.02-503.2.001002013000000.02-503|CELESTE Y BLANCA - 2 - Marcos Pisano
001002013000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Bolivar|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002013000000.133.A.001002013000000.133|UNIDAD - Miguel Francisco
001002014000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Bragado|135|JUNTOS POR EL CAMBIO|001002014000000.135.1A.001002014000000.135|1A - AMARILLO - Vicente Gatica
001002014000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Bragado|02-503|FRENTE DE TODOS|001002014000000.02-503.4.001002014000000.02-503|CELESTE Y BLANCA - 4 - Daniel Jauregui
001002014000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Bragado|02-503|FRENTE DE TODOS|001002014000000.02-503.2.001002014000000.02-503|CELESTE Y BLANCA - 2 - Sergio Barenghi
001002014000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Bragado|02-503|FRENTE DE TODOS|001002014000000.02-503.8.001002014000000.02-503|CELESTE Y BLANCA - 8 - Fernández Jorge
001002014000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Bragado|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002014000000.133.A.001002014000000.133|UNIDAD - Deborah Haddad
001002014000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Bragado|137|CONSENSO FEDERAL|001002014000000.137.A.001002014000000.137|HAY CONSENSO - Maria Pico
001002015000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Brandsen|135|JUNTOS POR EL CAMBIO|001002015000000.135.1A.001002015000000.135|1A - AMARILLO - Oscar Cappelletti
001002015000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Brandsen|02-503|FRENTE DE TODOS|001002015000000.02-503.6.001002015000000.02-503|CELESTE Y BLANCA - 6 - Lucas Bronicardi
001002015000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Brandsen|02-503|FRENTE DE TODOS|001002015000000.02-503.8.001002015000000.02-503|CELESTE Y BLANCA - 8 - Gaston Arias
001002015000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Brandsen|02-503|FRENTE DE TODOS|001002015000000.02-503.4.001002015000000.02-503|CELESTE Y BLANCA - 4 - Fernando Raitelli
001002015000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Brandsen|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002015000000.133.A.001002015000000.133|UNIDAD - Victor Gonzalez
001002016000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Campana|135|JUNTOS POR EL CAMBIO|001002016000000.135.1A.001002016000000.135|1A - AMARILLO - Sebastian Abella
001002016000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Campana|02-503|FRENTE DE TODOS|001002016000000.02-503.2.001002016000000.02-503|CELESTE Y BLANCA - 2 - Rubén Romano
001002016000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Campana|02-1911|FRENTE NOS|001002016000000.02-1911.A.001002016000000.02-1911|LINEA ÚNICA - Jorge Valdivia
001002016000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Campana|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002016000000.133.A.001002016000000.133|UNIDAD - Brenda Reymundo
001002016000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Campana|137|CONSENSO FEDERAL|001002016000000.137.A.001002016000000.137|HAY CONSENSO - Axel Cantlon
001002017000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cañuelas|135|JUNTOS POR EL CAMBIO|001002017000000.135.3A.001002017000000.135|3A - ROJO - Leonardo Iturmendi
001002017000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cañuelas|135|JUNTOS POR EL CAMBIO|001002017000000.135.1A.001002017000000.135|1A - AMARILLO - Santiago Mac
001002017000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cañuelas|02-503|FRENTE DE TODOS|001002017000000.02-503.2.001002017000000.02-503|CELESTE Y BLANCA - 2 - Viviana Fassi
001002017000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cañuelas|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002017000000.133.A.001002017000000.133|UNIDAD - Esteban Chacho
001002017000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cañuelas|137|CONSENSO FEDERAL|001002017000000.137.C.001002017000000.137|GENTE PROGRESISTA - Pablo Campos
001002017000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cañuelas|137|CONSENSO FEDERAL|001002017000000.137.A.001002017000000.137|HAY CONSENSO - Dario Chavez
001002017000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cañuelas|79|PARTIDO RENOVADOR FEDERAL|001002017000000.79.A.001002017000000.79|SOMOS RENOVADORES - Carlos Barus
001002018000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido C. Sarmiento|135|JUNTOS POR EL CAMBIO|001002018000000.135.1A.001002018000000.135|1A - AMARILLO - Javier Iguacel
001002018000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido C. Sarmiento|02-503|FRENTE DE TODOS|001002018000000.02-503.2.001002018000000.02-503|CELESTE Y BLANCA - 2 - Irma Negri
001002018000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido C. Sarmiento|02-1911|FRENTE NOS|001002018000000.02-1911.A.001002018000000.02-1911|LINEA ÚNICA - Ezequiel Ramirez
001002018000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido C. Sarmiento|137|CONSENSO FEDERAL|001002018000000.137.A.001002018000000.137|HAY CONSENSO - Daniela Ortiz
001002018000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido C. Sarmiento|137|CONSENSO FEDERAL|001002018000000.137.B.001002018000000.137|GENTE PROGRESISTA - Alejandro Leguizamon
001002019000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Carlos Casares|135|JUNTOS POR EL CAMBIO|001002019000000.135.1A.001002019000000.135|1A - AMARILLO - Maria Lucas
001002019000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Carlos Casares|135|JUNTOS POR EL CAMBIO|001002019000000.135.3A.001002019000000.135|3A - ROJO - Sergio Andreoli
001002019000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Carlos Casares|02-503|FRENTE DE TODOS|001002019000000.02-503.2.001002019000000.02-503|CELESTE Y BLANCA - 2 - Walter Torchio
001002019000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Carlos Casares|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002019000000.133.A.001002019000000.133|UNIDAD - Mariana Avendaño
001002020000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Carlos Tejedor|135|JUNTOS POR EL CAMBIO|001002020000000.135.1A.001002020000000.135|1A - AMARILLO - Raul Sala
001002020000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Carlos Tejedor|02-503|FRENTE DE TODOS|001002020000000.02-503.2.001002020000000.02-503|CELESTE Y BLANCA - 2 - María Gianini
001002020000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Carlos Tejedor|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002020000000.133.A.001002020000000.133|UNIDAD - Lucia Lo Bianco
001002021000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido C. de Areco|135|JUNTOS POR EL CAMBIO|001002021000000.135.1A.001002021000000.135|1A - AMARILLO - Santiago Mc Dermontt
001002021000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido C. de Areco|02-503|FRENTE DE TODOS|001002021000000.02-503.2.001002021000000.02-503|CELESTE Y BLANCA - 2 - Iván Villagrán
001002021000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido C. de Areco|137|CONSENSO FEDERAL|001002021000000.137.A.001002021000000.137|HAY CONSENSO - Leonela Da Rocha
001002021000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido C. de Areco|137|CONSENSO FEDERAL|001002021000000.137.B.001002021000000.137|GENTE PROGRESISTA - Marcelo Skansi
001002022000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Patagones|135|JUNTOS POR EL CAMBIO|001002022000000.135.1A.001002022000000.135|1A - AMARILLO - Jose Zara
001002022000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Patagones|02-503|FRENTE DE TODOS|001002022000000.02-503.6.001002022000000.02-503|CELESTE Y BLANCA - 6 - Nicolás García
001002022000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Patagones|02-503|FRENTE DE TODOS|001002022000000.02-503.8.001002022000000.02-503|CELESTE Y BLANCA - 8 - Gerardo Bari
001002022000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Patagones|02-503|FRENTE DE TODOS|001002022000000.02-503.4.001002022000000.02-503|CELESTE Y BLANCA - 4 - Ricardo Curetti
001002022000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Patagones|02-1911|FRENTE NOS|001002022000000.02-1911.A.001002022000000.02-1911|LINEA ÚNICA - Nestor Calvo
001002022000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Patagones|137|CONSENSO FEDERAL|001002022000000.137.A.001002022000000.137|HAY CONSENSO - Jorge Cifuentes
001002023000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Castelli|135|JUNTOS POR EL CAMBIO|001002023000000.135.1A.001002023000000.135|1A - AMARILLO - Santiago Uranga
001002023000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Castelli|02-503|FRENTE DE TODOS|001002023000000.02-503.2.001002023000000.02-503|CELESTE Y BLANCA - 2 - Francisco Echarren
001002024000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Colon|135|JUNTOS POR EL CAMBIO|001002024000000.135.1A.001002024000000.135|1A - AMARILLO - Juan Lavatelli
001002024000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Colon|02-503|FRENTE DE TODOS|001002024000000.02-503.2.001002024000000.02-503|CELESTE Y BLANCA - 2 - Casi Pito
001002024000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Colon|02-503|FRENTE DE TODOS|001002024000000.02-503.4.001002024000000.02-503|CELESTE Y BLANCA - 4 - Waldemar Giordano
001002024000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Colon|02-503|FRENTE DE TODOS|001002024000000.02-503.6.001002024000000.02-503|CELESTE Y BLANCA - 6 - Fernando Serafini
001002024000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Colon|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002024000000.133.A.001002024000000.133|UNIDAD - Roberto Neira
001002024000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Colon|137|CONSENSO FEDERAL|001002024000000.137.A.001002024000000.137|HAY ALTERNATIVA - Pablo Juarez
001002025000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cnel. Dorrego|135|JUNTOS POR EL CAMBIO|001002025000000.135.1A.001002025000000.135|1A - AMARILLO - Raul Reyes
001002025000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cnel. Dorrego|02-503|FRENTE DE TODOS|001002025000000.02-503.2.001002025000000.02-503|CELESTE Y BLANCA - 2 - Osvaldo Barcelona
001002025000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cnel. Dorrego|137|CONSENSO FEDERAL|001002025000000.137.A.001002025000000.137|HAY CONSENSO - Maria Ligdas
001002026000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cnel. Pringles|135|JUNTOS POR EL CAMBIO|001002026000000.135.1A.001002026000000.135|1A - AMARILLO - Lisandro Matzkin
001002026000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cnel. Pringles|02-503|FRENTE DE TODOS|001002026000000.02-503.2.001002026000000.02-503|CELESTE Y BLANCA - 2 - Ignacio Letona
001002026000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cnel. Pringles|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002026000000.133.A.001002026000000.133|UNIDAD - Daniel Heredia
001002026000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cnel. Pringles|137|CONSENSO FEDERAL|001002026000000.137.B.001002026000000.137|GENTE PROGRESISTA - Carlos Oreste
001002027000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cnel. Rosales|135|JUNTOS POR EL CAMBIO|001002027000000.135.1A.001002027000000.135|1A - AMARILLO - Mariano Uset
001002027000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cnel. Rosales|02-503|FRENTE DE TODOS|001002027000000.02-503.4.001002027000000.02-503|CELESTE Y BLANCA - 4 - Gustavo Sartori
001002027000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cnel. Rosales|02-503|FRENTE DE TODOS|001002027000000.02-503.6.001002027000000.02-503|CELESTE Y BLANCA - 6 - Rosana Suarez
001002027000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cnel. Rosales|02-207|PARTIDO HUMANISTA|001002027000000.02-207.A.001002027000000.02-207|NARANJA - Nadia Molina
001002027000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cnel. Rosales|02-809|BIEN COMUN POR ROSALES|001002027000000.02-809.A.001002027000000.02-809|LISTA UNICA - Daniel Medina
001002027000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cnel. Rosales|02-1911|FRENTE NOS|001002027000000.02-1911.A.001002027000000.02-1911|LINEA ÚNICA - Benjamin Mejias
001002027000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cnel. Rosales|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002027000000.133.A.001002027000000.133|UNIDAD - Edgardo Herrera
001002027000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cnel. Rosales|137|CONSENSO FEDERAL|001002027000000.137.B.001002027000000.137|CONSENSO FEDERAL 2030 - Mauro Paganini
001002027000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cnel. Rosales|137|CONSENSO FEDERAL|001002027000000.137.A.001002027000000.137|HAY CONSENSO - Miguel Vital
001002028000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cnel. Suarez|135|JUNTOS POR EL CAMBIO|001002028000000.135.3A.001002028000000.135|3A - ROJO - Pedro Rodriguez
001002028000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Cnel. Suarez|135|JUNTOS POR EL CAMBIO|001002028000000.135.1A.001002028000000.135|1A - AMARILLO - Alberto Fernandez
