CODIGO_DISTRITO|CODIGO_SECCION|MESAS_HABILITADAS|MESAS_COMPUTADAS|CODIGO_CATEGORIA|CONTADOR|VALOR
01|01001|522|497|000100000000000|VB|3536
01|01001|522|497|000100000000000|VII|14
01|01001|522|497|000100000000000|VN|973
01|01001|522|497|000100000000000|VR|61
01|01001|522|497|000201000000000|VB|5024
01|01001|522|497|000201000000000|VII|7
01|01001|522|497|000201000000000|VN|910
01|01001|522|497|000201000000000|VR|59
01|01001|522|497|000301000000000|VB|5266
01|01001|522|497|000301000000000|VII|9
01|01001|522|497|000301000000000|VN|938
01|01001|522|497|000301000000000|VR|63
01|01001|522|497|000501000000000|VB|9741
01|01001|522|497|000501000000000|VII|9
01|01001|522|497|000501000000000|VN|886
01|01001|522|497|000501000000000|VR|60
01|01001|522|497|000801000000000|VB|6760
01|01001|522|497|000801000000000|VII|10
01|01001|522|497|000801000000000|VN|895
01|01001|522|497|000801000000000|VR|59
01|01001|522|497|000901001000000|VB|11062
01|01001|522|497|000901001000000|VII|10
01|01001|522|497|000901001000000|VN|851
01|01001|522|497|000901001000000|VR|65
01|01002|417|311|000100000000000|VB|1912
01|01002|417|311|000100000000000|VII|17
01|01002|417|311|000100000000000|VN|573
01|01002|417|311|000100000000000|VR|17
01|01002|417|311|000201000000000|VB|2528
01|01002|417|311|000201000000000|VII|17
01|01002|417|311|000201000000000|VN|575
01|01002|417|311|000201000000000|VR|19
01|01002|417|311|000301000000000|VB|2436
01|01002|417|311|000301000000000|VII|17
01|01002|417|311|000301000000000|VN|578
01|01002|417|311|000301000000000|VR|17
01|01002|417|311|000501000000000|VB|5652
01|01002|417|311|000501000000000|VII|21
01|01002|417|311|000501000000000|VN|503
01|01002|417|311|000501000000000|VR|16
01|01002|417|311|000801000000000|VB|3280
01|01002|417|311|000801000000000|VII|17
01|01002|417|311|000801000000000|VN|541
01|01002|417|311|000801000000000|VR|16
01|01002|417|311|000901002000000|VB|6025
01|01002|417|311|000901002000000|VII|21
01|01002|417|311|000901002000000|VN|482
01|01002|417|311|000901002000000|VR|29
01|01003|472|451|000100000000000|VB|3636
01|01003|472|451|000100000000000|VII|6
01|01003|472|451|000100000000000|VN|1235
01|01003|472|451|000100000000000|VR|25
01|01003|472|451|000201000000000|VB|4881
01|01003|472|451|000201000000000|VII|5
01|01003|472|451|000201000000000|VN|1207
01|01003|472|451|000201000000000|VR|24
01|01003|472|451|000301000000000|VB|5219
01|01003|472|451|000301000000000|VII|5
01|01003|472|451|000301000000000|VN|1189
01|01003|472|451|000301000000000|VR|24
01|01003|472|451|000501000000000|VB|9696
01|01003|472|451|000501000000000|VII|5
01|01003|472|451|000501000000000|VN|1115
01|01003|472|451|000501000000000|VR|23
01|01003|472|451|000801000000000|VB|6988
01|01003|472|451|000801000000000|VII|5
01|01003|472|451|000801000000000|VN|1122
01|01003|472|451|000801000000000|VR|24
01|01003|472|451|000901003000000|VB|11540
01|01003|472|451|000901003000000|VII|11
01|01003|472|451|000901003000000|VN|1102
01|01003|472|451|000901003000000|VR|29
01|01004|529|491|000100000000000|VB|5415
01|01004|529|491|000100000000000|VII|35
01|01004|529|491|000100000000000|VN|1321
01|01004|529|491|000100000000000|VR|35
01|01004|529|491|000201000000000|VB|7765
01|01004|529|491|000201000000000|VII|36
01|01004|529|491|000201000000000|VN|1251
01|01004|529|491|000201000000000|VR|38
01|01004|529|491|000301000000000|VB|8439
01|01004|529|491|000301000000000|VII|36
01|01004|529|491|000301000000000|VN|1225
01|01004|529|491|000301000000000|VR|31
01|01004|529|491|000501000000000|VB|13312
01|01004|529|491|000501000000000|VII|34
01|01004|529|491|000501000000000|VN|1182
01|01004|529|491|000501000000000|VR|72
01|01004|529|491|000801000000000|VB|10487
01|01004|529|491|000801000000000|VII|34
01|01004|529|491|000801000000000|VN|1190
01|01004|529|491|000801000000000|VR|27
01|01004|529|491|000901004000000|VB|13993
01|01004|529|491|000901004000000|VII|48
01|01004|529|491|000901004000000|VN|1794
01|01004|529|491|000901004000000|VR|60
01|01005|460|431|000100000000000|VB|3573
01|01005|460|431|000100000000000|VII|15
01|01005|460|431|000100000000000|VN|1121
01|01005|460|431|000100000000000|VR|34
01|01005|460|431|000201000000000|VB|4333
01|01005|460|431|000201000000000|VII|13
01|01005|460|431|000201000000000|VN|1100
01|01005|460|431|000201000000000|VR|33
01|01005|460|431|000301000000000|VB|4537
01|01005|460|431|000301000000000|VII|14
01|01005|460|431|000301000000000|VN|1085
01|01005|460|431|000301000000000|VR|34
01|01005|460|431|000501000000000|VB|8771
01|01005|460|431|000501000000000|VII|14
01|01005|460|431|000501000000000|VN|1024
01|01005|460|431|000501000000000|VR|32
01|01005|460|431|000801000000000|VB|6144
01|01005|460|431|000801000000000|VII|14
01|01005|460|431|000801000000000|VN|1020
