CODIGO_DISTRITO|CODIGO_SECCION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
01|01001|000100000000000|13|1167|119314|0.97
01|01001|000100000000000|131|1742|119314|1.46
01|01001|000100000000000|132|375|119314|0.31
01|01001|000100000000000|133|4318|119314|3.61
01|01001|000100000000000|135|53811|119314|45.10
01|01001|000100000000000|136|41754|119314|34.99
01|01001|000100000000000|137|8185|119314|6.86
01|01001|000100000000000|36|140|119314|0.11
01|01001|000100000000000|57|158|119314|0.13
01|01001|000100000000000|87|4055|119314|3.39
01|01001|000201000000000|01-187|1308|119180|1.09
01|01001|000201000000000|01-262|390|119180|0.32
01|01001|000201000000000|01-343|277|119180|0.23
01|01001|000201000000000|01-501|4550|119180|3.81
01|01001|000201000000000|01-502|39958|119180|33.52
01|01001|000201000000000|01-503|53783|119180|45.12
01|01001|000201000000000|01-504|7121|119180|5.97
01|01001|000201000000000|13|1016|119180|0.85
01|01001|000201000000000|5|1718|119180|1.44
01|01001|000201000000000|86|134|119180|0.11
01|01001|000201000000000|87|3634|119180|3.04
01|01001|000201000000000|88|159|119180|0.13
01|01001|000301000000000|01-187|1662|119105|1.39
01|01001|000301000000000|01-262|388|119105|0.32
01|01001|000301000000000|01-343|262|119105|0.21
01|01001|000301000000000|01-501|5084|119105|4.26
01|01001|000301000000000|01-502|39181|119105|32.89
01|01001|000301000000000|01-503|53480|119105|44.90
01|01001|000301000000000|01-504|7128|119105|5.98
01|01001|000301000000000|13|985|119105|0.82
01|01001|000301000000000|5|1695|119105|1.42
01|01001|000301000000000|86|133|119105|0.11
01|01001|000301000000000|87|3550|119105|2.98
01|01001|000301000000000|88|175|119105|0.14
01|01001|000501000000000|01-187|1259|119825|1.05
01|01001|000501000000000|01-501|4464|119825|3.72
01|01001|000501000000000|01-502|40361|119825|33.68
01|01001|000501000000000|01-503|55600|119825|46.40
01|01001|000501000000000|01-504|6973|119825|5.81
01|01001|000501000000000|13|984|119825|0.82
01|01001|000501000000000|87|25|119825|0.02
01|01001|000501000000000|88|181|119825|0.15
01|01001|000801000000000|01-187|1316|119976|1.09
01|01001|000801000000000|01-501|4784|119976|3.98
01|01001|000801000000000|01-502|39826|119976|33.19
01|01001|000801000000000|01-503|54140|119976|45.12
01|01001|000801000000000|01-504|6766|119976|5.63
01|01001|000801000000000|13|1010|119976|0.84
01|01001|000801000000000|5|1635|119976|1.36
01|01001|000801000000000|87|3388|119976|2.82
01|01001|000801000000000|88|196|119976|0.16
01|01001|000901001000000|01-501|4873|119647|4.07
01|01001|000901001000000|01-502|39803|119647|33.26
01|01001|000901001000000|01-503|54192|119647|45.29
01|01001|000901001000000|01-504|6783|119647|5.66
01|01001|000901001000000|13|1043|119647|0.87
01|01001|000901001000000|5|1627|119647|1.35
01|01002|000100000000000|13|788|94679|0.83
01|01002|000100000000000|131|1635|94679|1.72
01|01002|000100000000000|132|161|94679|0.17
01|01002|000100000000000|133|2440|94679|2.57
01|01002|000100000000000|135|59516|94679|62.86
01|01002|000100000000000|136|18283|94679|19.31
01|01002|000100000000000|137|6104|94679|6.44
01|01002|000100000000000|36|68|94679|0.07
01|01002|000100000000000|57|60|94679|0.06
01|01002|000100000000000|87|3340|94679|3.52
01|01002|000201000000000|01-187|720|94340|0.76
01|01002|000201000000000|01-262|185|94340|0.19
01|01002|000201000000000|01-343|102|94340|0.10
01|01002|000201000000000|01-501|2618|94340|2.77
01|01002|000201000000000|01-502|17550|94340|18.60
01|01002|000201000000000|01-503|58501|94340|62.01
01|01002|000201000000000|01-504|5092|94340|5.39
01|01002|000201000000000|13|667|94340|0.70
01|01002|000201000000000|5|2747|94340|2.91
01|01002|000201000000000|86|65|94340|0.06
01|01002|000201000000000|87|2942|94340|3.11
01|01002|000201000000000|88|64|94340|0.06
01|01002|000301000000000|01-187|1019|94332|1.08
01|01002|000301000000000|01-262|185|94332|0.19
01|01002|000301000000000|01-343|97|94332|0.10
01|01002|000301000000000|01-501|3028|94332|3.20
01|01002|000301000000000|01-502|17194|94332|18.22
01|01002|000301000000000|01-503|58398|94332|61.90
01|01002|000301000000000|01-504|5144|94332|5.45
01|01002|000301000000000|13|646|94332|0.68
01|01002|000301000000000|5|2684|94332|2.84
01|01002|000301000000000|86|65|94332|0.06
01|01002|000301000000000|87|2876|94332|3.04
01|01002|000301000000000|88|77|94332|0.08
01|01002|000501000000000|01-187|690|94221|0.73
01|01002|000501000000000|01-501|2516|94221|2.67
01|01002|000501000000000|01-502|17737|94221|18.82
01|01002|000501000000000|01-503|60783|94221|64.51
01|01002|000501000000000|01-504|4966|94221|5.27
01|01002|000501000000000|13|627|94221|0.66
01|01002|000501000000000|87|4|94221|0.00
01|01002|000501000000000|88|81|94221|0.08
01|01002|000801000000000|01-187|717|94570|0.75
01|01002|000801000000000|01-501|2676|94570|2.82
01|01002|000801000000000|01-502|17441|94570|18.44
01|01002|000801000000000|01-503|58960|94570|62.34
01|01002|000801000000000|01-504|4757|94570|5.03
01|01002|000801000000000|13|641|94570|0.67
01|01002|000801000000000|5|2544|94570|2.69
01|01002|000801000000000|87|2737|94570|2.89
01|01002|000801000000000|88|93|94570|0.09
01|01002|000901002000000|01-501|2708|94353|2.87
01|01002|000901002000000|01-502|17464|94353|18.50
01|01002|000901002000000|01-503|59024|94353|62.55
01|01002|000901002000000|01-504|4764|94353|5.04
01|01002|000901002000000|13|652|94353|0.69
01|01002|000901002000000|5|2527|94353|2.67
01|01003|000100000000000|13|1355|113309|1.19
01|01003|000100000000000|131|1396|113309|1.23
01|01003|000100000000000|132|398|113309|0.35
