CODIGO_DISTRITO|CODIGO_SECCION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
01|01003|000100000000000|133|5004|113309|4.41
01|01003|000100000000000|135|45539|113309|40.19
01|01003|000100000000000|136|42131|113309|37.18
01|01003|000100000000000|137|9468|113309|8.35
01|01003|000100000000000|36|185|113309|0.16
01|01003|000100000000000|57|145|113309|0.12
01|01003|000100000000000|87|3982|113309|3.51
01|01003|000201000000000|01-187|1480|113153|1.30
01|01003|000201000000000|01-262|389|113153|0.34
01|01003|000201000000000|01-343|265|113153|0.23
01|01003|000201000000000|01-501|5313|113153|4.69
01|01003|000201000000000|01-502|40374|113153|35.68
01|01003|000201000000000|01-503|46236|113153|40.86
01|01003|000201000000000|01-504|8145|113153|7.19
01|01003|000201000000000|13|1152|113153|1.01
01|01003|000201000000000|5|961|113153|0.84
01|01003|000201000000000|86|158|113153|0.13
01|01003|000201000000000|87|3561|113153|3.14
01|01003|000201000000000|88|162|113153|0.14
01|01003|000301000000000|01-187|1873|113194|1.65
01|01003|000301000000000|01-262|390|113194|0.34
01|01003|000301000000000|01-343|266|113194|0.23
01|01003|000301000000000|01-501|5924|113194|5.23
01|01003|000301000000000|01-502|39629|113194|35.00
01|01003|000301000000000|01-503|45762|113194|40.42
01|01003|000301000000000|01-504|8100|113194|7.15
01|01003|000301000000000|13|1122|113194|0.99
01|01003|000301000000000|5|981|113194|0.86
01|01003|000301000000000|86|157|113194|0.13
01|01003|000301000000000|87|3516|113194|3.10
01|01003|000301000000000|88|178|113194|0.15
01|01003|000501000000000|01-187|1462|113415|1.28
01|01003|000501000000000|01-501|5175|113415|4.56
01|01003|000501000000000|01-502|40511|113415|35.71
01|01003|000501000000000|01-503|47173|113415|41.59
01|01003|000501000000000|01-504|7948|113415|7.00
01|01003|000501000000000|13|1112|113415|0.98
01|01003|000501000000000|87|23|113415|0.02
01|01003|000501000000000|88|172|113415|0.15
01|01003|000801000000000|01-187|1498|113521|1.31
01|01003|000801000000000|01-501|5562|113521|4.89
01|01003|000801000000000|01-502|39885|113521|35.13
01|01003|000801000000000|01-503|46088|113521|40.59
01|01003|000801000000000|01-504|7718|113521|6.79
01|01003|000801000000000|13|1126|113521|0.99
01|01003|000801000000000|5|969|113521|0.85
01|01003|000801000000000|87|3393|113521|2.98
01|01003|000801000000000|88|186|113521|0.16
01|01003|000901003000000|01-501|5734|113230|5.06
01|01003|000901003000000|01-502|39847|113230|35.19
01|01003|000901003000000|01-503|46032|113230|40.65
01|01003|000901003000000|01-504|7745|113230|6.84
01|01003|000901003000000|13|1161|113230|1.02
01|01003|000901003000000|5|988|113230|0.87
01|01004|000100000000000|13|1434|131459|1.09
01|01004|000100000000000|131|1590|131459|1.20
01|01004|000100000000000|132|434|131459|0.33
01|01004|000100000000000|133|5649|131459|4.29
01|01004|000100000000000|135|45728|131459|34.78
01|01004|000100000000000|136|56199|131459|42.75
01|01004|000100000000000|137|10344|131459|7.86
01|01004|000100000000000|36|194|131459|0.14
01|01004|000100000000000|57|229|131459|0.17
01|01004|000100000000000|87|4005|131459|3.04
01|01004|000201000000000|01-187|1417|131446|1.07
01|01004|000201000000000|01-262|440|131446|0.33
01|01004|000201000000000|01-343|356|131446|0.27
01|01004|000201000000000|01-501|5851|131446|4.45
01|01004|000201000000000|01-502|53199|131446|40.47
01|01004|000201000000000|01-503|46663|131446|35.49
01|01004|000201000000000|01-504|9112|131446|6.93
01|01004|000201000000000|13|1267|131446|0.96
01|01004|000201000000000|5|982|131446|0.74
01|01004|000201000000000|86|237|131446|0.18
01|01004|000201000000000|87|3591|131446|2.73
01|01004|000201000000000|88|201|131446|0.15
01|01004|000301000000000|01-187|1709|131571|1.29
01|01004|000301000000000|01-262|426|131571|0.32
01|01004|000301000000000|01-343|357|131571|0.27
01|01004|000301000000000|01-501|6251|131571|4.75
01|01004|000301000000000|01-502|52497|131571|39.90
01|01004|000301000000000|01-503|46152|131571|35.07
01|01004|000301000000000|01-504|9086|131571|6.90
01|01004|000301000000000|13|1269|131571|0.96
01|01004|000301000000000|5|985|131571|0.74
01|01004|000301000000000|86|246|131571|0.18
01|01004|000301000000000|87|3554|131571|2.70
01|01004|000301000000000|88|209|131571|0.15
01|01004|000501000000000|01-187|1325|132034|1.00
01|01004|000501000000000|01-501|5661|132034|4.28
01|01004|000501000000000|01-502|53250|132034|40.33
01|01004|000501000000000|01-503|47674|132034|36.10
01|01004|000501000000000|01-504|8742|132034|6.62
01|01004|000501000000000|13|1236|132034|0.93
01|01004|000501000000000|87|44|132034|0.03
01|01004|000501000000000|88|216|132034|0.16
01|01004|000801000000000|01-187|1366|132189|1.03
01|01004|000801000000000|01-501|5877|132189|4.44
01|01004|000801000000000|01-502|52833|132189|39.96
01|01004|000801000000000|01-503|46662|132189|35.29
01|01004|000801000000000|01-504|8527|132189|6.45
01|01004|000801000000000|13|1266|132189|0.95
01|01004|000801000000000|5|990|132189|0.74
01|01004|000801000000000|87|3457|132189|2.61
01|01004|000801000000000|88|226|132189|0.17
01|01004|000901004000000|01-501|5917|131260|4.50
01|01004|000901004000000|01-502|53055|131260|40.41
01|01004|000901004000000|01-503|46574|131260|35.48
01|01004|000901004000000|01-504|8566|131260|6.52
01|01004|000901004000000|13|1313|131260|1.00
01|01004|000901004000000|5|988|131260|0.75
01|01004|000901004000000|88|233|131260|0.17
01|01005|000100000000000|13|1599|115981|1.37
01|01005|000100000000000|131|1217|115981|1.04
01|01005|000100000000000|132|329|115981|0.28
01|01005|000100000000000|133|5543|115981|4.77
01|01005|000100000000000|135|46502|115981|40.09
01|01005|000100000000000|136|42042|115981|36.24
01|01005|000100000000000|137|10678|115981|9.20
01|01005|000100000000000|36|158|115981|0.13
01|01005|000100000000000|57|145|115981|0.12
01|01005|000100000000000|87|4127|115981|3.55
01|01005|000201000000000|01-187|1790|115942|1.54
01|01005|000201000000000|01-262|320|115942|0.27
01|01005|000201000000000|01-343|231|115942|0.19
01|01005|000201000000000|01-501|5977|115942|5.15
01|01005|000201000000000|01-502|40411|115942|34.85
01|01005|000201000000000|01-503|47593|115942|41.04
01|01005|000201000000000|01-504|9131|115942|7.87
01|01005|000201000000000|13|1350|115942|1.16
01|01005|000201000000000|5|823|115942|0.70
01|01005|000201000000000|86|96|115942|0.08
01|01005|000201000000000|87|3660|115942|3.15
01|01005|000201000000000|88|138|115942|0.11
01|01005|000301000000000|01-187|2324|115987|2.00
01|01005|000301000000000|01-262|315|115987|0.27
01|01005|000301000000000|01-343|230|115987|0.19
01|01005|000301000000000|01-501|6806|115987|5.86
01|01005|000301000000000|01-502|39470|115987|34.02
01|01005|000301000000000|01-503|47062|115987|40.57
01|01005|000301000000000|01-504|9130|115987|7.87
01|01005|000301000000000|13|1312|115987|1.13
01|01005|000301000000000|5|835|115987|0.71
01|01005|000301000000000|86|96|115987|0.08
01|01005|000301000000000|87|3634|115987|3.13
01|01005|000301000000000|88|140|115987|0.12
01|01005|000501000000000|01-187|1716|116016|1.47
01|01005|000501000000000|01-501|5810|116016|5.00
01|01005|000501000000000|01-502|40560|116016|34.96
01|01005|000501000000000|01-503|48642|116016|41.92
01|01005|000501000000000|01-504|8880|116016|7.65
01|01005|000501000000000|13|1284|116016|1.10
01|01005|000501000000000|87|41|116016|0.03
01|01005|000501000000000|88|141|116016|0.12
01|01005|000801000000000|01-187|1752|116305|1.50
01|01005|000801000000000|01-501|6346|116305|5.45
01|01005|000801000000000|01-502|39856|116305|34.26
01|01005|000801000000000|01-503|47659|116305|40.97
01|01005|000801000000000|01-504|8610|116305|7.40
01|01005|000801000000000|13|1316|116305|1.13
01|01005|000801000000000|5|812|116305|0.69
01|01005|000801000000000|87|3525|116305|3.03
01|01005|000801000000000|88|158|116305|0.13
01|01005|000901005000000|01-501|6352|116052|5.47
01|01005|000901005000000|01-502|39945|116052|34.41
01|01005|000901005000000|01-503|47716|116052|41.11
01|01005|000901005000000|01-504|8666|116052|7.46
01|01005|000901005000000|13|1369|116052|1.17
01|01005|000901005000000|5|798|116052|0.68
01|01006|000100000000000|13|1654|120628|1.37
01|01006|000100000000000|131|1035|120628|0.85
01|01006|000100000000000|132|267|120628|0.22
01|01006|000100000000000|133|5032|120628|4.17
01|01006|000100000000000|135|55593|120628|46.08
01|01006|000100000000000|136|36967|120628|30.64
01|01006|000100000000000|137|11548|120628|9.57
01|01006|000100000000000|36|90|120628|0.07
01|01006|000100000000000|57|114|120628|0.09
01|01006|000100000000000|87|4525|120628|3.75
01|01006|000201000000000|01-187|2031|120683|1.68
01|01006|000201000000000|01-262|267|120683|0.22
01|01006|000201000000000|01-343|213|120683|0.17
01|01006|000201000000000|01-501|5580|120683|4.62
01|01006|000201000000000|01-502|35432|120683|29.35
01|01006|000201000000000|01-503|57097|120683|47.31
01|01006|000201000000000|01-504|9685|120683|8.02
01|01006|000201000000000|13|1359|120683|1.12
01|01006|000201000000000|5|784|120683|0.64
01|01006|000201000000000|86|89|120683|0.07
01|01006|000201000000000|87|3876|120683|3.21
01|01006|000201000000000|88|90|120683|0.07
01|01006|000301000000000|01-187|2735|120614|2.26
01|01006|000301000000000|01-262|265|120614|0.21
01|01006|000301000000000|01-343|217|120614|0.17
01|01006|000301000000000|01-501|6336|120614|5.25
01|01006|000301000000000|01-502|34528|120614|28.62
01|01006|000301000000000|01-503|56375|120614|46.74
01|01006|000301000000000|01-504|9696|120614|8.03
01|01006|000301000000000|13|1312|120614|1.08
01|01006|000301000000000|5|789|120614|0.65
01|01006|000301000000000|86|98|120614|0.08
01|01006|000301000000000|87|3841|120614|3.18
01|01006|000301000000000|88|99|120614|0.08
01|01006|000501000000000|01-187|1892|120723|1.56
01|01006|000501000000000|01-501|5303|120723|4.39
01|01006|000501000000000|01-502|35832|120723|29.68
01|01006|000501000000000|01-503|58187|120723|48.19
01|01006|000501000000000|01-504|9382|120723|7.77
01|01006|000501000000000|13|1281|120723|1.06
01|01006|000501000000000|87|83|120723|0.06
01|01006|000501000000000|88|92|120723|0.07
01|01006|000801000000000|01-187|1990|120859|1.64
01|01006|000801000000000|01-501|5819|120859|4.81
01|01006|000801000000000|01-502|35130|120859|29.06
01|01006|000801000000000|01-503|57079|120859|47.22
01|01006|000801000000000|01-504|9158|120859|7.57
01|01006|000801000000000|13|1324|120859|1.09
01|01006|000801000000000|5|778|120859|0.64
01|01006|000801000000000|87|3753|120859|3.10
01|01006|000801000000000|88|95|120859|0.07
01|01006|000901006000000|01-501|6023|120758|4.98
01|01006|000901006000000|01-502|35023|120758|29.00
01|01006|000901006000000|01-503|57076|120758|47.26
01|01006|000901006000000|01-504|9183|120758|7.60
01|01006|000901006000000|13|1359|120758|1.12
01|01006|000901006000000|5|760|120758|0.62
01|01006|000901006000000|87|3753|120758|3.10
01|01006|000901006000000|88|110|120758|0.09
01|01007|000100000000000|13|1623|130495|1.24
01|01007|000100000000000|131|1424|130495|1.09
01|01007|000100000000000|132|353|130495|0.27
01|01007|000100000000000|133|5140|130495|3.93
01|01007|000100000000000|135|52353|130495|40.11
01|01007|000100000000000|136|47153|130495|36.13
01|01007|000100000000000|137|12541|130495|9.61
01|01007|000100000000000|36|161|130495|0.12
01|01007|000100000000000|57|178|130495|0.13
01|01007|000100000000000|87|5007|130495|3.83
01|01007|000201000000000|01-187|1807|130461|1.38
01|01007|000201000000000|01-262|359|130461|0.27
01|01007|000201000000000|01-343|277|130461|0.21
01|01007|000201000000000|01-501|5515|130461|4.22
01|01007|000201000000000|01-502|45230|130461|34.66
01|01007|000201000000000|01-503|53683|130461|41.14
01|01007|000201000000000|01-504|10730|130461|8.22
01|01007|000201000000000|13|1392|130461|1.06
01|01007|000201000000000|5|959|130461|0.73
01|01007|000201000000000|86|166|130461|0.12
01|01007|000201000000000|87|4398|130461|3.37
01|01007|000201000000000|88|151|130461|0.11
01|01007|000301000000000|01-187|2333|130320|1.79
01|01007|000301000000000|01-262|376|130320|0.28
01|01007|000301000000000|01-343|286|130320|0.21
01|01007|000301000000000|01-501|6242|130320|4.78
01|01007|000301000000000|01-502|44318|130320|34.00
01|01007|000301000000000|01-503|53001|130320|40.66
01|01007|000301000000000|01-504|10671|130320|8.18
01|01007|000301000000000|13|1372|130320|1.05
01|01007|000301000000000|5|989|130320|0.75
01|01007|000301000000000|86|167|130320|0.12
01|01007|000301000000000|87|4350|130320|3.33
01|01007|000301000000000|88|168|130320|0.12
01|01007|000501000000000|01-187|1728|131198|1.31
01|01007|000501000000000|01-501|5333|131198|4.06
01|01007|000501000000000|01-502|46281|131198|35.27
01|01007|000501000000000|01-503|54649|131198|41.65
01|01007|000501000000000|01-504|10302|131198|7.85
01|01007|000501000000000|13|1316|131198|1.00
01|01007|000501000000000|87|28|131198|0.02
01|01007|000501000000000|88|164|131198|0.12
01|01007|000801000000000|01-187|1794|131626|1.36
01|01007|000801000000000|01-501|5692|131626|4.32
01|01007|000801000000000|01-502|45532|131626|34.59
01|01007|000801000000000|01-503|53708|131626|40.80
01|01007|000801000000000|01-504|10109|131626|7.68
01|01007|000801000000000|13|1366|131626|1.03
01|01007|000801000000000|5|982|131626|0.74
01|01007|000801000000000|87|4230|131626|3.21
01|01007|000801000000000|88|173|131626|0.13
01|01007|000901007000000|01-501|5742|131207|4.37
01|01007|000901007000000|01-502|45511|131207|34.68
01|01007|000901007000000|01-503|53754|131207|40.96
01|01007|000901007000000|01-504|10168|131207|7.74
01|01007|000901007000000|13|1439|131207|1.09
01|01007|000901007000000|5|985|131207|0.75
01|01007|000901007000000|88|177|131207|0.13
01|01008|000100000000000|13|836|103608|0.80
01|01008|000100000000000|131|1402|103608|1.35
01|01008|000100000000000|132|350|103608|0.33
01|01008|000100000000000|133|3948|103608|3.81
01|01008|000100000000000|135|31145|103608|30.06
01|01008|000100000000000|136|50784|103608|49.01
01|01008|000100000000000|137|8131|103608|7.84
01|01008|000100000000000|36|190|103608|0.18
01|01008|000100000000000|57|219|103608|0.21
01|01008|000100000000000|87|2896|103608|2.79
01|01008|000201000000000|01-187|821|103039|0.79
01|01008|000201000000000|01-262|354|103039|0.34
01|01008|000201000000000|01-343|311|103039|0.30
01|01008|000201000000000|01-501|3969|103039|3.85
01|01008|000201000000000|01-502|48490|103039|47.05
01|01008|000201000000000|01-503|31671|103039|30.73
01|01008|000201000000000|01-504|7248|103039|7.03
01|01008|000201000000000|13|788|103039|0.76
01|01008|000201000000000|5|552|103039|0.53
01|01008|000201000000000|86|213|103039|0.20
01|01008|000201000000000|87|2668|103039|2.58
01|01008|000201000000000|88|170|103039|0.16
01|01008|000301000000000|01-187|984|103004|0.95
01|01008|000301000000000|01-262|349|103004|0.33
01|01008|000301000000000|01-343|314|103004|0.30
01|01008|000301000000000|01-501|4093|103004|3.97
01|01008|000301000000000|01-502|47963|103004|46.56
01|01008|000301000000000|01-503|31465|103004|30.54
01|01008|000301000000000|01-504|7257|103004|7.04
01|01008|000301000000000|13|777|103004|0.75
01|01008|000301000000000|5|571|103004|0.55
01|01008|000301000000000|86|217|103004|0.21
01|01008|000301000000000|87|2634|103004|2.55
01|01008|000301000000000|88|174|103004|0.16
01|01008|000501000000000|01-187|807|104103|0.77
01|01008|000501000000000|01-501|3940|104103|3.78
01|01008|000501000000000|01-502|49246|104103|47.30
01|01008|000501000000000|01-503|32606|104103|31.32
01|01008|000501000000000|01-504|6964|104103|6.68
01|01008|000501000000000|13|771|104103|0.74
01|01008|000501000000000|87|84|104103|0.08
01|01008|000501000000000|88|199|104103|0.19
01|01008|000801000000000|01-187|832|104519|0.79
01|01008|000801000000000|01-501|4061|104519|3.88
01|01008|000801000000000|01-502|48859|104519|46.74
01|01008|000801000000000|01-503|31898|104519|30.51
01|01008|000801000000000|01-504|6939|104519|6.63
01|01008|000801000000000|13|781|104519|0.74
01|01008|000801000000000|5|577|104519|0.55
01|01008|000801000000000|87|2635|104519|2.52
01|01008|000801000000000|88|209|104519|0.19
01|01008|000901008000000|01-501|4112|104379|3.93
01|01008|000901008000000|01-502|48611|104379|46.57
01|01008|000901008000000|01-503|31954|104379|30.61
01|01008|000901008000000|01-504|6989|104379|6.69
01|01008|000901008000000|13|816|104379|0.78
01|01008|000901008000000|5|580|104379|0.55
01|01008|000901008000000|87|2626|104379|2.51
01|01008|000901008000000|88|205|104379|0.19
01|01009|000100000000000|13|1181|113166|1.04
01|01009|000100000000000|131|1361|113166|1.20
01|01009|000100000000000|132|385|113166|0.34
01|01009|000100000000000|133|4471|113166|3.95
01|01009|000100000000000|135|41646|113166|36.80
01|01009|000100000000000|136|44091|113166|38.96
01|01009|000100000000000|137|11757|113166|10.38
01|01009|000100000000000|36|136|113166|0.12
01|01009|000100000000000|57|156|113166|0.13
01|01009|000100000000000|87|4235|113166|3.74
01|01009|000201000000000|01-187|1277|113124|1.12
01|01009|000201000000000|01-262|392|113124|0.34
01|01009|000201000000000|01-343|251|113124|0.22
01|01009|000201000000000|01-501|4654|113124|4.11
01|01009|000201000000000|01-502|42587|113124|37.64
01|01009|000201000000000|01-503|42746|113124|37.78
01|01009|000201000000000|01-504|10341|113124|9.14
01|01009|000201000000000|13|1053|113124|0.93
01|01009|000201000000000|5|751|113124|0.66
01|01009|000201000000000|86|139|113124|0.12
01|01009|000201000000000|87|3796|113124|3.35
01|01009|000201000000000|88|135|113124|0.11
01|01009|000301000000000|01-187|1618|113171|1.42
01|01009|000301000000000|01-262|386|113171|0.34
01|01009|000301000000000|01-343|255|113171|0.22
01|01009|000301000000000|01-501|4945|113171|4.36
01|01009|000301000000000|01-502|42160|113171|37.25
01|01009|000301000000000|01-503|42345|113171|37.41
01|01009|000301000000000|01-504|10355|113171|9.14
01|01009|000301000000000|13|1045|113171|0.92
01|01009|000301000000000|5|773|113171|0.68
01|01009|000301000000000|86|144|113171|0.12
01|01009|000301000000000|87|3743|113171|3.30
01|01009|000301000000000|88|138|113171|0.12
01|01009|000501000000000|01-187|1255|113462|1.10
01|01009|000501000000000|01-501|4470|113462|3.93
01|01009|000501000000000|01-502|43130|113462|38.01
01|01009|000501000000000|01-503|43555|113462|38.38
01|01009|000501000000000|01-504|9932|113462|8.75
01|01009|000501000000000|13|1011|113462|0.89
01|01009|000501000000000|87|95|113462|0.08
01|01009|000501000000000|88|152|113462|0.13
01|01009|000801000000000|01-187|1281|113790|1.12
01|01009|000801000000000|01-501|4692|113790|4.12
01|01009|000801000000000|01-502|42654|113790|37.48
01|01009|000801000000000|01-503|42839|113790|37.64
01|01009|000801000000000|01-504|9685|113790|8.51
01|01009|000801000000000|13|1041|113790|0.91
01|01009|000801000000000|5|766|113790|0.67
01|01009|000801000000000|87|3716|113790|3.26
01|01009|000801000000000|88|154|113790|0.13
01|01009|000901009000000|01-501|4765|113612|4.19
01|01009|000901009000000|01-502|42652|113612|37.54
01|01009|000901009000000|01-503|42817|113612|37.68
01|01009|000901009000000|01-504|9688|113612|8.52
01|01009|000901009000000|13|1062|113612|0.93
01|01009|000901009000000|5|770|113612|0.67
01|01009|000901009000000|87|3675|113612|3.23
01|01009|000901009000000|88|160|113612|0.14
01|01010|000100000000000|13|1443|114577|1.25
01|01010|000100000000000|131|1449|114577|1.26
01|01010|000100000000000|132|333|114577|0.29
01|01010|000100000000000|133|5033|114577|4.39
01|01010|000100000000000|135|45906|114577|40.06
01|01010|000100000000000|136|39632|114577|34.58
01|01010|000100000000000|137|12302|114577|10.73
01|01010|000100000000000|36|118|114577|0.10
01|01010|000100000000000|57|159|114577|0.13
01|01010|000100000000000|87|4252|114577|3.71
01|01010|000201000000000|01-187|1727|114620|1.50
01|01010|000201000000000|01-262|343|114620|0.29
01|01010|000201000000000|01-343|259|114620|0.22
01|01010|000201000000000|01-501|5306|114620|4.62
01|01010|000201000000000|01-502|38228|114620|33.35
01|01010|000201000000000|01-503|47163|114620|41.14
01|01010|000201000000000|01-504|10691|114620|9.32
01|01010|000201000000000|13|1260|114620|1.09
01|01010|000201000000000|5|962|114620|0.83
01|01010|000201000000000|86|107|114620|0.09
01|01010|000201000000000|87|3719|114620|3.24
01|01010|000201000000000|88|123|114620|0.10
01|01010|000301000000000|01-187|2163|114625|1.88
01|01010|000301000000000|01-262|340|114625|0.29
01|01010|000301000000000|01-343|266|114625|0.23
01|01010|000301000000000|01-501|5759|114625|5.02
01|01010|000301000000000|01-502|37680|114625|32.87
01|01010|000301000000000|01-503|46562|114625|40.62
01|01010|000301000000000|01-504|10642|114625|9.28
01|01010|000301000000000|13|1227|114625|1.07
01|01010|000301000000000|5|996|114625|0.86
01|01010|000301000000000|86|118|114625|0.10
01|01010|000301000000000|87|3629|114625|3.16
01|01010|000301000000000|88|126|114625|0.10
01|01010|000501000000000|01-187|1627|114809|1.41
01|01010|000501000000000|01-501|4938|114809|4.30
01|01010|000501000000000|01-502|38606|114809|33.62
01|01010|000501000000000|01-503|48080|114809|41.87
01|01010|000501000000000|01-504|10357|114809|9.02
01|01010|000501000000000|13|1173|114809|1.02
01|01010|000501000000000|87|57|114809|0.04
01|01010|000501000000000|88|149|114809|0.12
01|01010|000801000000000|01-187|1662|114968|1.44
01|01010|000801000000000|01-501|5239|114968|4.55
01|01010|000801000000000|01-502|38050|114968|33.09
01|01010|000801000000000|01-503|47058|114968|40.93
01|01010|000801000000000|01-504|10154|114968|8.83
01|01010|000801000000000|13|1210|114968|1.05
01|01010|000801000000000|5|951|114968|0.82
01|01010|000801000000000|87|3573|114968|3.10
01|01010|000801000000000|88|144|114968|0.12
01|01010|000901010000000|01-501|5287|114881|4.60
01|01010|000901010000000|01-502|38040|114881|33.11
01|01010|000901010000000|01-503|47013|114881|40.92
01|01010|000901010000000|01-504|10199|114881|8.87
01|01010|000901010000000|13|1240|114881|1.07
01|01010|000901010000000|5|937|114881|0.81
01|01010|000901010000000|87|3555|114881|3.09
01|01011|000100000000000|13|1528|133704|1.14
01|01011|000100000000000|131|1511|133704|1.13
01|01011|000100000000000|132|389|133704|0.29
01|01011|000100000000000|133|5337|133704|3.99
01|01011|000100000000000|135|59069|133704|44.17
01|01011|000100000000000|136|42039|133704|31.44
